window_days,model,placement_id,channel_id,campaign_id,publication_time,cost_rub,data_origin,attributed_revenue_rub,attributed_orders
7,first,p_ext_ds_memes_0808,ext_tg_ds_memes,cmp_2026-08_start_sale,2026-08-08 11:00:00,15000.0,synthetic,234475.0,28.0
7,first,p_ext_ds_memes_0904,ext_tg_ds_memes,cmp_2026-09_tbank_season,2026-09-04 12:00:00,18000.0,synthetic,230687.5,23.0
7,first,p_ext_it_jobs_0807,ext_tg_it_jobs,cmp_2026-08_start_sale,2026-08-07 12:00:00,25000.0,synthetic,151675.0,20.0
7,first,p_ext_it_jobs_0822,ext_tg_it_jobs,cmp_2026-08_pro_launch,2026-08-22 10:00:00,25000.0,synthetic,186645.0,17.0
7,first,p_ext_ml_digest_0823,ext_tg_ml_digest,cmp_2026-08_pro_launch,2026-08-23 09:00:00,40000.0,synthetic,254332.5,29.0
7,first,p_ext_stud_life_0821,ext_tg_student_life,cmp_2026-08_pro_launch,2026-08-21 18:00:00,12000.0,synthetic,125425.0,12.0
7,first,p_ext_stud_life_0903,ext_tg_student_life,cmp_2026-09_tbank_season,2026-09-03 19:00:00,12000.0,synthetic,87575.0,9.0
7,first,p_ext_yt_review_0830,ext_youtube_review,cmp_2026-09_tbank_season,2026-08-30 15:00:00,35000.0,synthetic,79150.0,8.0
7,first,p_own_1809,own_tg_main,cmp_2026-08_start_sale,2026-07-23 16:05:30,0.0,real_post/synthetic_cost,16990.0,2.0
7,first,p_own_1811,own_tg_main,cmp_2026-08_start_sale,2026-07-24 19:05:26,0.0,real_post/synthetic_cost,4950.0,1.0
7,first,p_own_1812,own_tg_main,cmp_2026-08_start_sale,2026-07-25 12:05:19,0.0,real_post/synthetic_cost,0.0,0.0
7,first,p_own_1815,own_tg_main,cmp_2026-08_start_sale,2026-07-26 15:35:00,0.0,real_post/synthetic_cost,16950.0,1.0
7,first,p_own_1823,own_tg_main,cmp_2026-08_start_sale,2026-07-29 19:05:26,0.0,real_post/synthetic_cost,42120.0,6.0
7,first,p_own_1824,own_tg_main,cmp_2026-08_start_sale,2026-07-30 19:05:25,0.0,real_post/synthetic_cost,115265.0,12.0
7,first,p_own_1827,own_tg_main,cmp_2026-08_start_sale,2026-08-02 11:51:49,0.0,real_post/synthetic_cost,234655.0,26.0
7,first,p_own_1833,own_tg_main,cmp_2026-08_start_sale,2026-08-07 17:22:16,0.0,real_post/synthetic_cost,239485.0,30.0
7,first,p_own_1836,own_tg_main,cmp_2026-08_start_sale,2026-08-09 13:32:11,0.0,real_post/synthetic_cost,137568.34,17.0
7,first,p_own_1837,own_tg_main,cmp_2026-08_start_sale,2026-08-09 18:35:40,0.0,real_post/synthetic_cost,112035.0,15.0
7,first,p_own_1838,own_tg_main,cmp_2026-08_start_sale,2026-08-10 16:26:59,0.0,real_post/synthetic_cost,130905.0,13.0
7,first,p_own_1840,own_tg_main,cmp_2026-08_start_sale,2026-08-10 20:33:06,0.0,real_post/synthetic_cost,120015.0,13.0
7,first,p_own_1843,own_tg_main,cmp_2026-08_start_sale,2026-08-11 18:50:13,0.0,real_post/synthetic_cost,71230.0,8.0
7,first,p_own_1852,own_tg_main,cmp_2026-08_pro_launch,2026-08-16 19:39:39,0.0,real_post/synthetic_cost,155815.0,17.0
7,first,p_own_1859,own_tg_main,cmp_2026-08_pro_launch,2026-08-22 13:19:48,0.0,real_post/synthetic_cost,303965.0,32.0
7,first,p_own_1860,own_tg_main,cmp_2026-08_pro_launch,2026-08-23 11:51:41,0.0,real_post/synthetic_cost,100525.0,10.0
7,first,p_own_1863,own_tg_main,cmp_2026-08_pro_launch,2026-08-23 19:20:03,0.0,real_post/synthetic_cost,127978.0,13.0
7,first,p_own_1870,own_tg_main,cmp_2026-09_tbank_season,2026-08-28 19:05:59,0.0,real_post/synthetic_cost,173195.0,16.0
7,first,p_own_1872,own_tg_main,cmp_2026-09_tbank_season,2026-08-29 21:58:58,0.0,real_post/synthetic_cost,243840.0,23.0
7,first,p_own_1874,own_tg_main,cmp_2026-09_tbank_season,2026-08-30 16:26:37,0.0,real_post/synthetic_cost,197895.0,17.0
7,first,p_own_1875,own_tg_main,cmp_2026-09_tbank_season,2026-08-31 17:11:02,0.0,real_post/synthetic_cost,204940.0,21.0
7,first,p_own_1876,own_tg_main,cmp_2026-09_tbank_season,2026-09-01 20:40:56,0.0,real_post/synthetic_cost,161775.0,16.0
7,first,p_own_1877,own_tg_main,cmp_2026-09_tbank_season,2026-09-02 19:06:05,0.0,real_post/synthetic_cost,188950.0,19.0
7,first,p_own_1878,own_tg_main,cmp_2026-09_tbank_season,2026-09-03 19:06:06,0.0,real_post/synthetic_cost,83396.5,9.0
7,first,p_own_1880,own_tg_main,cmp_2026-09_tbank_season,2026-09-06 12:06:06,0.0,real_post/synthetic_cost,27112.5,4.0
7,first,p_own_1881,own_tg_main,cmp_2026-09_tbank_season,2026-09-06 15:06:08,0.0,real_post/synthetic_cost,30875.0,3.0
7,first,p_own_1882,own_tg_main,cmp_2026-09_tbank_season,2026-09-06 18:04:47,0.0,real_post/synthetic_cost,31850.0,3.0
7,first,p_own_1883,own_tg_main,cmp_2026-09_tbank_season,2026-09-06 20:44:11,0.0,real_post/synthetic_cost,8950.0,1.0
7,first,p_own_1887,own_tg_main,cmp_2026-09_tbank_season,2026-09-07 13:47:40,0.0,real_post/synthetic_cost,23900.0,2.0
7,first,p_own_1892,own_tg_main,cmp_2026-09_tbank_season,2026-09-07 17:05:21,0.0,real_post/synthetic_cost,23900.0,2.0
7,first,p_own_1895,own_tg_main,cmp_2026-09_tbank_season,2026-09-08 18:27:01,0.0,real_post/synthetic_cost,0.0,0.0
7,last,p_ext_ds_memes_0808,ext_tg_ds_memes,cmp_2026-08_start_sale,2026-08-08 11:00:00,15000.0,synthetic,273590.0,34.0
7,last,p_ext_ds_memes_0904,ext_tg_ds_memes,cmp_2026-09_tbank_season,2026-09-04 12:00:00,18000.0,synthetic,314262.5,31.0
7,last,p_ext_it_jobs_0807,ext_tg_it_jobs,cmp_2026-08_start_sale,2026-08-07 12:00:00,25000.0,synthetic,138255.0,17.0
7,last,p_ext_it_jobs_0822,ext_tg_it_jobs,cmp_2026-08_pro_launch,2026-08-22 10:00:00,25000.0,synthetic,157820.0,15.0
7,last,p_ext_ml_digest_0823,ext_tg_ml_digest,cmp_2026-08_pro_launch,2026-08-23 09:00:00,40000.0,synthetic,315707.5,36.0
7,last,p_ext_stud_life_0821,ext_tg_student_life,cmp_2026-08_pro_launch,2026-08-21 18:00:00,12000.0,synthetic,93075.0,9.0
7,last,p_ext_stud_life_0903,ext_tg_student_life,cmp_2026-09_tbank_season,2026-09-03 19:00:00,12000.0,synthetic,33325.0,4.0
7,last,p_ext_yt_review_0830,ext_youtube_review,cmp_2026-09_tbank_season,2026-08-30 15:00:00,35000.0,synthetic,93620.0,8.0
7,last,p_own_1809,own_tg_main,cmp_2026-08_start_sale,2026-07-23 16:05:30,0.0,real_post/synthetic_cost,16950.0,1.0
7,last,p_own_1811,own_tg_main,cmp_2026-08_start_sale,2026-07-24 19:05:26,0.0,real_post/synthetic_cost,4950.0,1.0
7,last,p_own_1812,own_tg_main,cmp_2026-08_start_sale,2026-07-25 12:05:19,0.0,real_post/synthetic_cost,9950.0,1.0
7,last,p_own_1815,own_tg_main,cmp_2026-08_start_sale,2026-07-26 15:35:00,0.0,real_post/synthetic_cost,23440.0,2.0
7,last,p_own_1823,own_tg_main,cmp_2026-08_start_sale,2026-07-29 19:05:26,0.0,real_post/synthetic_cost,31375.0,5.0
7,last,p_own_1824,own_tg_main,cmp_2026-08_start_sale,2026-07-30 19:05:25,0.0,real_post/synthetic_cost,114050.0,13.0
7,last,p_own_1827,own_tg_main,cmp_2026-08_start_sale,2026-08-02 11:51:49,0.0,real_post/synthetic_cost,168370.0,18.0
7,last,p_own_1833,own_tg_main,cmp_2026-08_start_sale,2026-08-07 17:22:16,0.0,real_post/synthetic_cost,184590.0,23.0
7,last,p_own_1836,own_tg_main,cmp_2026-08_start_sale,2026-08-09 13:32:11,0.0,real_post/synthetic_cost,170163.34,21.0
7,last,p_own_1837,own_tg_main,cmp_2026-08_start_sale,2026-08-09 18:35:40,0.0,real_post/synthetic_cost,106200.0,14.0
7,last,p_own_1838,own_tg_main,cmp_2026-08_start_sale,2026-08-10 16:26:59,0.0,real_post/synthetic_cost,158805.0,17.0
7,last,p_own_1840,own_tg_main,cmp_2026-08_start_sale,2026-08-10 20:33:06,0.0,real_post/synthetic_cost,72695.0,9.0
7,last,p_own_1843,own_tg_main,cmp_2026-08_start_sale,2026-08-11 18:50:13,0.0,real_post/synthetic_cost,109685.0,12.0
7,last,p_own_1852,own_tg_main,cmp_2026-08_pro_launch,2026-08-16 19:39:39,0.0,real_post/synthetic_cost,173240.0,18.0
7,last,p_own_1859,own_tg_main,cmp_2026-08_pro_launch,2026-08-22 13:19:48,0.0,real_post/synthetic_cost,209545.0,22.0
7,last,p_own_1860,own_tg_main,cmp_2026-08_pro_launch,2026-08-23 11:51:41,0.0,real_post/synthetic_cost,96348.0,10.0
7,last,p_own_1863,own_tg_main,cmp_2026-08_pro_launch,2026-08-23 19:20:03,0.0,real_post/synthetic_cost,203025.0,17.0
7,last,p_own_1870,own_tg_main,cmp_2026-09_tbank_season,2026-08-28 19:05:59,0.0,real_post/synthetic_cost,176620.0,18.0
7,last,p_own_1872,own_tg_main,cmp_2026-09_tbank_season,2026-08-29 21:58:58,0.0,real_post/synthetic_cost,212732.5,22.0
7,last,p_own_1874,own_tg_main,cmp_2026-09_tbank_season,2026-08-30 16:26:37,0.0,real_post/synthetic_cost,144120.0,15.0
7,last,p_own_1875,own_tg_main,cmp_2026-09_tbank_season,2026-08-31 17:11:02,0.0,real_post/synthetic_cost,163190.0,17.0
7,last,p_own_1876,own_tg_main,cmp_2026-09_tbank_season,2026-09-01 20:40:56,0.0,real_post/synthetic_cost,129425.0,14.0
7,last,p_own_1877,own_tg_main,cmp_2026-09_tbank_season,2026-09-02 19:06:05,0.0,real_post/synthetic_cost,222750.0,18.0
7,last,p_own_1878,own_tg_main,cmp_2026-09_tbank_season,2026-09-03 19:06:06,0.0,real_post/synthetic_cost,141909.0,14.0
7,last,p_own_1880,own_tg_main,cmp_2026-09_tbank_season,2026-09-06 12:06:06,0.0,real_post/synthetic_cost,42537.5,5.0
7,last,p_own_1881,own_tg_main,cmp_2026-09_tbank_season,2026-09-06 15:06:08,0.0,real_post/synthetic_cost,55225.0,6.0
7,last,p_own_1882,own_tg_main,cmp_2026-09_tbank_season,2026-09-06 18:04:47,0.0,real_post/synthetic_cost,53750.0,5.0
7,last,p_own_1883,own_tg_main,cmp_2026-09_tbank_season,2026-09-06 20:44:11,0.0,real_post/synthetic_cost,26850.0,3.0
7,last,p_own_1887,own_tg_main,cmp_2026-09_tbank_season,2026-09-07 13:47:40,0.0,real_post/synthetic_cost,14950.0,1.0
7,last,p_own_1892,own_tg_main,cmp_2026-09_tbank_season,2026-09-07 17:05:21,0.0,real_post/synthetic_cost,23900.0,2.0
7,last,p_own_1895,own_tg_main,cmp_2026-09_tbank_season,2026-09-08 18:27:01,0.0,real_post/synthetic_cost,0.0,0.0
7,linear,p_ext_ds_memes_0808,ext_tg_ds_memes,cmp_2026-08_start_sale,2026-08-08 11:00:00,15000.0,synthetic,258674.16666666666,31.666666666666668
7,linear,p_ext_ds_memes_0904,ext_tg_ds_memes,cmp_2026-09_tbank_season,2026-09-04 12:00:00,18000.0,synthetic,276533.3333333333,27.5
7,linear,p_ext_it_jobs_0807,ext_tg_it_jobs,cmp_2026-08_start_sale,2026-08-07 12:00:00,25000.0,synthetic,138263.33333333334,17.666666666666668
7,linear,p_ext_it_jobs_0822,ext_tg_it_jobs,cmp_2026-08_pro_launch,2026-08-22 10:00:00,25000.0,synthetic,172886.66666666666,16.166666666666668
