window_days,model,attributed_revenue_rub,organic_revenue_rub,organic_share_pct
7,first,4680995,1223676,20.7
7,last,4680995,1223676,20.7
7,linear,4680995,1223676,20.7
7,time_decay,4680995,1223676,20.7
7,position,4680995,1223676,20.7
14,first,4680995,1223676,20.7
14,last,4680995,1223676,20.7
14,linear,4680995,1223676,20.7
14,time_decay,4680995,1223676,20.7
14,position,4680995,1223676,20.7
30,first,4680995,1223676,20.7
30,last,4680995,1223676,20.7
30,linear,4680995,1223676,20.7
30,time_decay,4680995,1223676,20.7
30,position,4680995,1223676,20.7
