course,items,buyers,revenue,first_sale,last_sale,median_price,list_price,rev_share_pct
Аналитика про,93,92,740941.5,2026-08-08 16:22:47,2026-09-09 13:24:37,8450.0,8950.0,12.5
ML про,90,90,715110.0,2026-08-04 09:08:31,2026-09-09 13:34:09,8450.0,8950.0,12.1
AI агенты,91,90,711673.0,2026-08-22 08:23:59,2026-09-09 15:06:26,8450.0,8950.0,12.1
Аналитика старт,91,91,641616.5,2026-08-04 09:35:00,2026-09-09 14:46:43,7471.5,8950.0,10.9
Алгоритмы старт,88,88,529851.68,2026-08-08 12:24:55,2026-09-09 16:46:07,4995.0,8950.0,9.0
ML старт,80,80,523278.33,2026-08-04 17:19:52,2026-09-06 16:18:59,6490.0,8950.0,8.9
Backend про,55,55,438342.5,2026-08-05 12:56:32,2026-09-06 17:27:55,8450.0,8950.0,7.4
Алгоритмы про,35,35,268409.0,2026-08-12 05:32:11,2026-09-09 16:46:07,7475.0,8950.0,4.5
Backend старт,39,39,263396.66,2026-08-04 17:05:46,2026-09-07 09:30:42,6490.0,8950.0,4.5
Алгоритмы,30,30,209482.5,2026-08-08 13:57:16,2026-09-09 19:26:20,5750.0,8950.0,3.5
Мат анализ,20,20,191382.5,2026-08-04 10:14:38,2026-09-09 19:26:20,9950.0,9950.0,3.2
Линейная алгебра,19,19,180665.0,2026-08-04 10:14:38,2026-09-10 06:09:12,9950.0,9950.0,3.1
К ВУЗу,26,25,180250.0,2026-08-04 13:38:06,2026-09-03 15:43:04,6950.0,6950.0,3.1
Теория вероятностей,13,13,132107.5,2026-08-06 14:52:49,2026-09-09 19:26:20,9950.0,9950.0,2.2
Data Science,9,9,69295.0,2026-08-04 16:17:19,2026-09-09 16:23:01,6950.0,6950.0,1.2
АВ тестам,8,8,49610.0,2026-08-05 14:22:34,2026-09-05 07:16:30,5975.0,8950.0,0.8
Дискретка,4,4,34415.0,2026-08-31 14:03:44,2026-09-09 19:26:20,8597.5,8950.0,0.6
Data Engenering,4,4,24845.0,2026-08-08 20:25:37,2026-08-10 09:02:50,6450.0,6950.0,0.4
