date,orders,revenue,buyers,items,avg_discount,dow,is_weekend
2026-08-04,7,84130.0,6,9,-0.08277777777777778,Tue,False
2026-08-05,6,67110.0,6,8,0.06275,Wed,False
2026-08-06,7,62445.0,7,8,0.128625,Thu,False
2026-08-07,5,54995.0,5,6,0.012166666666666668,Fri,False
2026-08-08,35,275015.0,35,49,0.3697142857142857,Sat,True
2026-08-09,68,524091.67,68,92,0.3563695652173913,Sun,True
2026-08-10,29,205590.0,29,36,0.32608333333333334,Mon,False
2026-08-11,12,96330.0,12,17,0.3161764705882353,Tue,False
2026-08-12,14,114930.0,14,17,0.2071764705882353,Wed,False
2026-08-13,9,72810.0,9,9,0.098,Thu,False
2026-08-14,9,76690.0,9,10,0.0985,Fri,False
2026-08-15,5,48345.0,5,7,0.19642857142857142,Sat,True
2026-08-16,5,43085.0,5,6,0.1605,Sun,True
2026-08-17,3,33185.0,3,4,0.01725,Mon,False
2026-08-18,6,61110.0,6,7,0.039714285714285716,Tue,False
2026-08-19,5,56380.0,5,7,0.08342857142857142,Wed,False
2026-08-20,6,52585.0,6,6,0.01983333333333333,Thu,False
2026-08-21,3,28145.0,3,3,0.026333333333333334,Fri,False
2026-08-22,26,251150.0,26,32,0.11971875,Sat,True
2026-08-23,39,394495.0,39,49,0.09534693877551022,Sun,True
2026-08-24,19,184073.0,19,22,0.06518181818181819,Mon,False
2026-08-25,15,141650.0,15,18,0.12088888888888889,Tue,False
2026-08-26,9,84075.0,9,10,0.0607,Wed,False
2026-08-27,10,137425.0,10,18,0.16261111111111112,Thu,False
2026-08-28,6,60200.0,6,7,0.055142857142857146,Fri,False
2026-08-29,10,95525.0,10,13,0.18715384615384614,Sat,True
2026-08-30,19,176340.0,19,23,0.14347826086956522,Sun,True
2026-08-31,19,206188.0,19,25,0.07852,Mon,False
2026-09-01,19,226880.0,19,28,0.10471428571428572,Tue,False
2026-09-02,23,217280.0,23,28,0.14814285714285713,Wed,False
2026-09-03,20,180400.0,20,22,0.08331818181818183,Thu,False
2026-09-04,26,269585.0,26,33,0.09415151515151515,Fri,False
2026-09-05,49,484684.0,48,59,0.08223728813559322,Sat,True
2026-09-06,45,396075.0,45,54,0.18264814814814814,Sun,True
2026-09-07,17,173375.0,17,20,0.04775,Mon,False
2026-09-08,6,64750.0,6,8,0.09575,Tue,False
2026-09-09,16,193600.0,16,24,0.11166666666666668,Wed,False
2026-09-10,1,9950.0,1,1,0.0,Thu,False
