event_id,event_type,start,end,line,description,evidence,source_post,views,cost_rub,cost_note
post_1809,native_promo,2026-07-23 16:05,,СТАРТ,Т-Академия и Т-Интенсив,observed: public post,1809,21300,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1811,native_promo,2026-07-24 19:05,,ПРО,Почему ты не можешь попасть на стажировку,observed: public post,1811,20700,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1812,native_promo,2026-07-25 12:05,,,"Собрали гайд по секции liveo coding в Авито, которая проходит у всех разработчик",observed: public post,1812,20200,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1815,sale,2026-07-26 15:35,,,Кого первым уволит ИИ ,observed: public post,1815,19200,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1823,native_promo,2026-07-29 19:05,,СТАРТ,Как получить стажировку в 2026 году,observed: public post,1823,21700,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1824,native_promo,2026-07-30 19:05,,ПРО,"Товарищи, пока наш пост про ""Ясасу Бибу"" форсится по медиа (тут и тут), немного ",observed: public post,1824,21000,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1827,lead_magnet,2026-08-02 11:51,,,Разбор контеста на стажировку в Яндекс за подписку! ,observed: public post,1827,32600,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1833,native_promo,2026-08-07 17:22,,СТАРТ,Слив алгоритмического собеса в Авито. Смотрим! Смотрим! ,observed: public post,1833,16500,,own channel: cost=0 (opportunity cost — see docs/romi.md)
inferred_sale_start_aug08,sale,2026-08-08 09:00,2026-08-10 23:59,СТАРТ,"Финальная распродажа СТАРТ: «2 курса за 9 990», старт ~6 490 (−27…−45%)",inferred: цены 4 950/4 995/6 490 с 8 авг + пост 1837 «последние 6 часов» + 1838 «продлеваем до конца дня»,1835? (id отсутствует в превью),,,
post_1836,sale,2026-08-09 13:32,,СТАРТ,Дайджест вакансий,observed: public post,1836,18300,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1837,sale,2026-08-09 18:35,,СТАРТ,Как найти стажировку зарубежом,observed: public post,1837,19800,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1838,sale,2026-08-10 16:26,,ПРО,Из процесс-менеджера в продуктового аналитика ,observed: public post,1838,16500,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1840,sale,2026-08-10 20:33,,СТАРТ,"У России три пути: 18+, ***** и IT",observed: public post,1840,30800,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1843,native_promo,2026-08-11 18:50,,ПРО,Как искать работу в 2026 году,observed: public post,1843,18000,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1852,native_promo,2026-08-16 19:39,,ПРО,LinkedIn: как зарегистрироваться и не словить бан,observed: public post,1852,22200,,own channel: cost=0 (opportunity cost — see docs/romi.md)
inferred_pro_launch_price,launch,2026-08-22 13:19,2026-08-25 23:59,ПРО,"Запуск линейки ПРО + AI агенты; launch-цена «2 курса за 14 950» (7 475 за курс, −16%)",observed post 1859 (35.7K views) + цены 7 475×2 с 22 авг,1859,35700,,
post_1859,launch,2026-08-22 13:19,,ПРО,Выходим на новый уровень с линейкой 1️⃣1️⃣1️⃣,observed: public post,1859,35700,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1860,native_promo,2026-08-23 11:51,,ПРО,Анализ айти рынка ,observed: public post,1860,20600,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1863,native_promo,2026-08-23 19:20,,ПРО,Полный цикл собесов на Go-разработчика в Авито,observed: public post,1863,21400,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1870,native_promo,2026-08-28 19:05,,ПРО,Самые интересные события в ближайшее время.,observed: public post,1870,19700,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1872,launch,2026-08-29 21:58,,ПРО,"❗️ Яндекс обновил контест на стажировку, задания тут, а их разбор уже выложен на",observed: public post,1872,20300,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1874,sale,2026-08-30 16:26,,,ИИ-инженеры зарабатывают 300к/наносек! ,observed: public post,1874,19400,,own channel: cost=0 (opportunity cost — see docs/romi.md)
external_tbank_deadline,external_demand,2026-08-31 00:00,2026-09-06 23:59,ПРО,Отбор на стажировку Т-Банк (дедлайн 6 сен) — серия постов «разбор экзамена на курсах ПРО»,"observed posts 1875, 1877, 1878, 1880 + пик продаж 5–6 сен по полной цене",1875;1877;1878;1880,,,
post_1875,native_promo,2026-08-31 17:11,,ПРО,Открылся отбор на стажировку в Т-Банк ,observed: public post,1875,20600,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1876,native_promo,2026-09-01 20:40,,ПРО,Как НЕ продолбать год,observed: public post,1876,17400,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1877,native_promo,2026-09-02 19:06,,ПРО,"5 причин, почему нужно податься на стажировку в Т-Банк ",observed: public post,1877,17000,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1878,native_promo,2026-09-03 19:06,,ПРО,❗️ Скоро заканчивается отбор на стажировку в Т-банк ,observed: public post,1878,15000,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1880,native_promo,2026-09-06 12:06,,ПРО,❗️ Через 12 часов закончится отбор на стажировку Т-банк!,observed: public post,1880,12600,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1881,lead_magnet,2026-09-06 15:06,,,Разбор экзамена на стажировку в Т-банк за подписку! ,observed: public post,1881,14700,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1882,native_promo,2026-09-06 18:04,,ПРО,Стажировки для разработчиков ,observed: public post,1882,12000,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1883,native_promo,2026-09-06 20:44,,ПРО,Слив протоколов собеседований на аналитика в Т-Банке,observed: public post,1883,14700,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1887,lead_magnet,2026-09-07 13:47,,,Уметь считать ≠ уметь анализировать,observed: public post,1887,18400,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1892,lead_magnet,2026-09-07 17:05,,СТАРТ,Слив протоколов АВ тестирования для кейс-интервью X5,observed: public post,1892,13500,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1895,native_promo,2026-09-08 18:27,,ПРО,Собрали все задачи с алгосекции в Яндексе в одном файле с разбором частых ошибок,observed: public post,1895,12300,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1897,lead_magnet,2026-09-09 17:17,,ПРО,Как готовиться к софт собесам в Авито,observed: public post,1897,10100,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1898,lead_magnet,2026-09-10 11:59,,,Как хакнуть HR,observed: public post,1898,9630,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1899,native_promo,2026-09-10 17:06,,ПРО,Продолжаем знакомиться с талантливыми учениками Поступашек,observed: public post,1899,10800,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1900,lead_magnet,2026-09-11 16:37,,ПРО,Стартовал ХАКАТОН по аналитике — кейс уже выложили,observed: public post,1900,8470,,own channel: cost=0 (opportunity cost — see docs/romi.md)
post_1901,native_promo,2026-09-12 12:04,,ПРО,Полный слив собеседований ML в Яндексе,observed: public post,1901,5420,,own channel: cost=0 (opportunity cost — see docs/romi.md)
