student_id,amount,course,timestamp,item_id,order_id,family,line,list_price,discount_pct,flag_low_amount,flag_high_amount,flag_same_course_twice
437,8950.0,ML про,2026-08-04 09:08:31,1,1,ML,ПРО,8950.0,0.0,False,False,False
437,7890.0,Аналитика старт,2026-08-04 09:35:00,2,2,Аналитика,СТАРТ,8950.0,0.118,False,False,False
443,8475.0,Линейная алгебра,2026-08-04 10:14:38,3,3,Математика,Другое,9950.0,0.148,False,False,False
443,8475.0,Мат анализ,2026-08-04 10:14:38,4,3,Математика,Другое,9950.0,0.148,False,False,False
430,8950.0,К ВУЗу,2026-08-04 13:38:06,5,4,К ВУЗу,Другое,6950.0,-0.288,False,False,True
480,15695.0,Data Science,2026-08-04 16:17:19,6,5,Data,Другое,6950.0,-1.0,False,True,False
131,8745.0,Backend старт,2026-08-04 17:05:46,7,6,Backend,СТАРТ,8950.0,0.023,False,False,False
571,8475.0,ML про,2026-08-04 17:19:52,8,7,ML,ПРО,8950.0,0.053,False,False,False
571,8475.0,ML старт,2026-08-04 17:19:52,9,7,ML,СТАРТ,8950.0,0.053,False,False,False
159,8475.0,Backend про,2026-08-05 12:56:32,10,8,Backend,ПРО,8950.0,0.053,False,False,False
159,8475.0,Backend старт,2026-08-05 12:56:32,11,8,Backend,СТАРТ,8950.0,0.053,False,False,False
126,8745.0,ML старт,2026-08-05 13:22:41,12,9,ML,СТАРТ,8950.0,0.023,False,False,False
225,8745.0,АВ тестам,2026-08-05 14:22:34,13,10,Аналитика,Другое,8950.0,0.023,False,False,False
137,8475.0,Backend старт,2026-08-05 15:01:16,14,11,Backend,СТАРТ,8950.0,0.053,False,False,False
280,8245.0,ML старт,2026-08-05 16:37:02,15,12,ML,СТАРТ,8950.0,0.079,False,False,False
222,7975.0,Backend про,2026-08-05 18:52:56,16,13,Backend,ПРО,8950.0,0.109,False,False,False
222,7975.0,Backend старт,2026-08-05 18:52:56,17,13,Backend,СТАРТ,8950.0,0.109,False,False,False
291,9950.0,Линейная алгебра,2026-08-06 10:06:16,18,14,Математика,Другое,9950.0,0.0,False,False,False
291,9950.0,Мат анализ,2026-08-06 10:06:16,19,14,Математика,Другое,9950.0,0.0,False,False,False
295,6950.0,К ВУЗу,2026-08-06 10:14:55,20,15,К ВУЗу,Другое,6950.0,0.0,False,False,False
294,9950.0,Линейная алгебра,2026-08-06 10:39:31,21,16,Математика,Другое,9950.0,0.0,False,False,False
325,9950.0,Линейная алгебра,2026-08-06 11:41:17,22,17,Математика,Другое,9950.0,0.0,False,False,False
166,6950.0,К ВУЗу,2026-08-06 12:15:46,23,18,К ВУЗу,Другое,6950.0,0.0,False,False,False
477,500.0,Теория вероятностей,2026-08-06 14:52:49,24,19,Математика,Другое,9950.0,0.95,True,False,False
579,8245.0,ML старт,2026-08-06 16:20:47,25,20,ML,СТАРТ,8950.0,0.079,False,False,False
334,9950.0,Линейная алгебра,2026-08-07 11:16:14,26,21,Математика,Другое,9950.0,0.0,False,False,False
334,9950.0,Мат анализ,2026-08-07 11:16:14,27,21,Математика,Другое,9950.0,0.0,False,False,False
459,9950.0,Мат анализ,2026-08-07 11:31:08,28,22,Математика,Другое,9950.0,0.0,False,False,False
313,9450.0,Мат анализ,2026-08-07 11:58:49,29,23,Математика,Другое,9950.0,0.05,False,False,False
481,8745.0,ML про,2026-08-07 13:09:54,30,24,ML,ПРО,8950.0,0.023,False,False,False
249,6950.0,К ВУЗу,2026-08-07 19:38:55,31,25,К ВУЗу,Другое,6950.0,0.0,False,False,False
259,8745.0,ML про,2026-08-08 07:59:01,32,26,ML,ПРО,8950.0,0.023,False,False,False
26,6490.0,Backend старт,2026-08-08 09:23:01,33,27,Backend,СТАРТ,8950.0,0.275,False,False,False
183,6490.0,Backend старт,2026-08-08 10:08:11,34,28,Backend,СТАРТ,8950.0,0.275,False,False,False
47,4995.0,ML старт,2026-08-08 12:24:55,35,29,ML,СТАРТ,8950.0,0.442,False,False,False
47,4995.0,Алгоритмы старт,2026-08-08 12:24:55,36,29,Алгоритмы,СТАРТ,8950.0,0.442,False,False,False
518,6490.0,Алгоритмы старт,2026-08-08 12:37:37,37,30,Алгоритмы,СТАРТ,8950.0,0.275,False,False,False
54,6490.0,Алгоритмы старт,2026-08-08 12:39:51,38,31,Алгоритмы,СТАРТ,8950.0,0.275,False,False,False
554,5000.0,ML старт,2026-08-08 12:44:01,39,32,ML,СТАРТ,8950.0,0.441,False,False,False
554,5000.0,Алгоритмы старт,2026-08-08 12:44:01,40,32,Алгоритмы,СТАРТ,8950.0,0.441,False,False,False
473,10000.0,Алгоритмы,2026-08-08 13:57:16,41,33,Алгоритмы,Другое,8950.0,-0.117,False,False,False
308,4950.0,Backend старт,2026-08-08 14:05:17,42,34,Backend,СТАРТ,8950.0,0.447,False,False,False
