order_id,student_id,ts,n_items,order_total,courses,lines,date,is_bundle,order_seq,is_repeat
1,437,2026-08-04 09:08:31,1,8950.0,ML про,ПРО,2026-08-04,False,1,False
2,437,2026-08-04 09:35:00,1,7890.0,Аналитика старт,СТАРТ,2026-08-04,False,2,True
3,443,2026-08-04 10:14:38,2,16950.0,Линейная алгебра + Мат анализ,Другое,2026-08-04,True,1,False
4,430,2026-08-04 13:38:06,1,8950.0,К ВУЗу,Другое,2026-08-04,False,1,False
5,480,2026-08-04 16:17:19,1,15695.0,Data Science,Другое,2026-08-04,False,1,False
6,131,2026-08-04 17:05:46,1,8745.0,Backend старт,СТАРТ,2026-08-04,False,1,False
7,571,2026-08-04 17:19:52,2,16950.0,ML про + ML старт,ПРО/СТАРТ,2026-08-04,True,1,False
8,159,2026-08-05 12:56:32,2,16950.0,Backend про + Backend старт,ПРО/СТАРТ,2026-08-05,True,1,False
9,126,2026-08-05 13:22:41,1,8745.0,ML старт,СТАРТ,2026-08-05,False,1,False
10,225,2026-08-05 14:22:34,1,8745.0,АВ тестам,Другое,2026-08-05,False,1,False
11,137,2026-08-05 15:01:16,1,8475.0,Backend старт,СТАРТ,2026-08-05,False,1,False
12,280,2026-08-05 16:37:02,1,8245.0,ML старт,СТАРТ,2026-08-05,False,1,False
13,222,2026-08-05 18:52:56,2,15950.0,Backend про + Backend старт,ПРО/СТАРТ,2026-08-05,True,1,False
14,291,2026-08-06 10:06:16,2,19900.0,Линейная алгебра + Мат анализ,Другое,2026-08-06,True,1,False
15,295,2026-08-06 10:14:55,1,6950.0,К ВУЗу,Другое,2026-08-06,False,1,False
16,294,2026-08-06 10:39:31,1,9950.0,Линейная алгебра,Другое,2026-08-06,False,1,False
17,325,2026-08-06 11:41:17,1,9950.0,Линейная алгебра,Другое,2026-08-06,False,1,False
18,166,2026-08-06 12:15:46,1,6950.0,К ВУЗу,Другое,2026-08-06,False,1,False
19,477,2026-08-06 14:52:49,1,500.0,Теория вероятностей,Другое,2026-08-06,False,1,False
20,579,2026-08-06 16:20:47,1,8245.0,ML старт,СТАРТ,2026-08-06,False,1,False
21,334,2026-08-07 11:16:14,2,19900.0,Линейная алгебра + Мат анализ,Другое,2026-08-07,True,1,False
22,459,2026-08-07 11:31:08,1,9950.0,Мат анализ,Другое,2026-08-07,False,1,False
23,313,2026-08-07 11:58:49,1,9450.0,Мат анализ,Другое,2026-08-07,False,1,False
24,481,2026-08-07 13:09:54,1,8745.0,ML про,ПРО,2026-08-07,False,1,False
25,249,2026-08-07 19:38:55,1,6950.0,К ВУЗу,Другое,2026-08-07,False,1,False
26,259,2026-08-08 07:59:01,1,8745.0,ML про,ПРО,2026-08-08,False,1,False
27,26,2026-08-08 09:23:01,1,6490.0,Backend старт,СТАРТ,2026-08-08,False,1,False
28,183,2026-08-08 10:08:11,1,6490.0,Backend старт,СТАРТ,2026-08-08,False,1,False
29,47,2026-08-08 12:24:55,2,9990.0,ML старт + Алгоритмы старт,СТАРТ,2026-08-08,True,1,False
30,518,2026-08-08 12:37:37,1,6490.0,Алгоритмы старт,СТАРТ,2026-08-08,False,1,False
31,54,2026-08-08 12:39:51,1,6490.0,Алгоритмы старт,СТАРТ,2026-08-08,False,1,False
32,554,2026-08-08 12:44:01,2,10000.0,ML старт + Алгоритмы старт,СТАРТ,2026-08-08,True,1,False
33,473,2026-08-08 13:57:16,1,10000.0,Алгоритмы,Другое,2026-08-08,False,1,False
34,308,2026-08-08 14:05:17,2,9900.0,Backend старт + Алгоритмы старт,СТАРТ,2026-08-08,True,1,False
35,412,2026-08-08 14:06:52,2,9990.0,ML старт + Алгоритмы старт,СТАРТ,2026-08-08,True,1,False
36,7,2026-08-08 14:07:56,1,4950.0,Backend старт,СТАРТ,2026-08-08,False,1,False
37,370,2026-08-08 14:10:35,1,6490.0,Backend старт,СТАРТ,2026-08-08,False,1,False
38,532,2026-08-08 16:22:47,2,9990.0,Аналитика про + Аналитика старт,ПРО/СТАРТ,2026-08-08,True,1,False
39,451,2026-08-08 16:24:46,1,8245.0,Backend про,ПРО,2026-08-08,False,1,False
40,265,2026-08-08 16:25:28,1,5990.0,ML старт,СТАРТ,2026-08-08,False,1,False
41,8,2026-08-08 16:25:39,2,8990.0,АВ тестам + Алгоритмы,Другое,2026-08-08,True,1,False
42,33,2026-08-08 16:26:36,2,9990.0,Backend старт + Алгоритмы старт,СТАРТ,2026-08-08,True,1,False
43,512,2026-08-08 16:43:12,1,4995.0,Алгоритмы старт,СТАРТ,2026-08-08,False,1,False
44,410,2026-08-08 16:51:05,1,6490.0,Backend старт,СТАРТ,2026-08-08,False,1,False
45,516,2026-08-08 16:59:49,2,9900.0,Алгоритмы старт + Аналитика старт,СТАРТ,2026-08-08,True,1,False
46,511,2026-08-08 17:29:42,1,4950.0,Аналитика старт,СТАРТ,2026-08-08,False,1,False
