placement_id,campaign_id,channel_id,creative_id,publication_time,cost_rub,cost_type,opportunity_cost_rub,post_url,message_id,deep_link,views_public,status,data_origin,attributed_revenue_rub,attributed_orders,cost_used_rub,attributed_value_rub,romi_attr,cac_rub,rpm_rub,model,window_days,margin,cost_mode
p_ext_ds_memes_0808,cmp_2026-08_start_sale,ext_tg_ds_memes,cr_native,2026-08-08 11:00:00,15000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_ds_memes_0808,30000,published,synthetic,238311.0,29.4,15000.0,238311.0,14.9,510.2,7943.7,position,14,1.0,opportunity
p_ext_ds_memes_0904,cmp_2026-09_tbank_season,ext_tg_ds_memes,cr_native,2026-09-04 12:00:00,18000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_ds_memes_0904,28000,published,synthetic,273120.0,27.1,18000.0,273120.0,14.2,664.2,9754.3,position,14,1.0,opportunity
p_own_1859,cmp_2026-08_pro_launch,own_tg_main,cr_launch,2026-08-22 13:19:48,0.0,opportunity,20000.0,https://t.me/postypashki_old/1859,1859.0,https://t.me/PostupashkiTrackBot?start=p_own_1859,35700,published,real_post/synthetic_cost,269165.5,28.0,20000.0,269165.5,12.5,714.3,7539.6,position,14,1.0,opportunity
p_own_1827,cmp_2026-08_start_sale,own_tg_main,cr_lead_magnet,2026-08-02 11:51:49,0.0,opportunity,20000.0,https://t.me/postypashki_old/1827,1827.0,https://t.me/PostupashkiTrackBot?start=p_own_1827,32600,published,real_post/synthetic_cost,224940.2,25.2,20000.0,224940.2,10.2,794.7,6900.0,position,14,1.0,opportunity
p_own_1872,cmp_2026-09_tbank_season,own_tg_main,cr_launch,2026-08-29 21:58:58,0.0,opportunity,20000.0,https://t.me/postypashki_old/1872,1872.0,https://t.me/PostupashkiTrackBot?start=p_own_1872,20300,published,real_post/synthetic_cost,212060.2,21.0,20000.0,212060.2,9.6,952.4,10446.3,position,14,1.0,opportunity
p_own_1877,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-02 19:06:05,0.0,opportunity,20000.0,https://t.me/postypashki_old/1877,1877.0,https://t.me/PostupashkiTrackBot?start=p_own_1877,17000,published,real_post/synthetic_cost,189800.0,16.2,20000.0,189800.0,8.5,1234.6,11164.7,position,14,1.0,opportunity
p_own_1833,cmp_2026-08_start_sale,own_tg_main,cr_native_promo,2026-08-07 17:22:16,0.0,opportunity,20000.0,https://t.me/postypashki_old/1833,1833.0,https://t.me/PostupashkiTrackBot?start=p_own_1833,16500,published,real_post/synthetic_cost,189078.5,23.4,20000.0,189078.5,8.5,854.7,11459.3,position,14,1.0,opportunity
p_own_1863,cmp_2026-08_pro_launch,own_tg_main,cr_native_promo,2026-08-23 19:20:03,0.0,opportunity,20000.0,https://t.me/postypashki_old/1863,1863.0,https://t.me/PostupashkiTrackBot?start=p_own_1863,21400,published,real_post/synthetic_cost,184054.5,17.1,20000.0,184054.5,8.2,1169.6,8600.7,position,14,1.0,opportunity
p_own_1875,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-08-31 17:11:02,0.0,opportunity,20000.0,https://t.me/postypashki_old/1875,1875.0,https://t.me/PostupashkiTrackBot?start=p_own_1875,20600,published,real_post/synthetic_cost,179737.5,18.7,20000.0,179737.5,8.0,1069.5,8725.1,position,14,1.0,opportunity
p_ext_stud_life_0821,cmp_2026-08_pro_launch,ext_tg_student_life,cr_native,2026-08-21 18:00:00,12000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_stud_life_0821,9000,published,synthetic,107765.0,10.2,12000.0,107765.0,8.0,1176.5,11973.9,position,14,1.0,opportunity
p_own_1874,cmp_2026-09_tbank_season,own_tg_main,cr_sale,2026-08-30 16:26:37,0.0,opportunity,20000.0,https://t.me/postypashki_old/1874,1874.0,https://t.me/PostupashkiTrackBot?start=p_own_1874,19400,published,real_post/synthetic_cost,166555.0,15.4,20000.0,166555.0,7.3,1298.7,8585.3,position,14,1.0,opportunity
p_own_1870,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-08-28 19:05:59,0.0,opportunity,20000.0,https://t.me/postypashki_old/1870,1870.0,https://t.me/PostupashkiTrackBot?start=p_own_1870,19700,published,real_post/synthetic_cost,166150.5,16.0,20000.0,166150.5,7.3,1250.0,8434.0,position,14,1.0,opportunity
p_own_1852,cmp_2026-08_pro_launch,own_tg_main,cr_native_promo,2026-08-16 19:39:39,0.0,opportunity,20000.0,https://t.me/postypashki_old/1852,1852.0,https://t.me/PostupashkiTrackBot?start=p_own_1852,22200,published,real_post/synthetic_cost,153984.0,16.5,20000.0,153984.0,6.7,1212.1,6936.2,position,14,1.0,opportunity
p_own_1836,cmp_2026-08_start_sale,own_tg_main,cr_sale,2026-08-09 13:32:11,0.0,opportunity,20000.0,https://t.me/postypashki_old/1836,1836.0,https://t.me/PostupashkiTrackBot?start=p_own_1836,18300,published,real_post/synthetic_cost,152869.8,18.9,20000.0,152869.8,6.6,1058.2,8353.5,position,14,1.0,opportunity
p_ext_ml_digest_0823,cmp_2026-08_pro_launch,ext_tg_ml_digest,cr_native,2026-08-23 09:00:00,40000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_ml_digest_0823,45000,published,synthetic,303959.0,34.4,40000.0,303959.0,6.6,1162.8,6754.6,position,14,1.0,opportunity
p_own_1876,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-01 20:40:56,0.0,opportunity,20000.0,https://t.me/postypashki_old/1876,1876.0,https://t.me/PostupashkiTrackBot?start=p_own_1876,17400,published,real_post/synthetic_cost,143775.0,14.8,20000.0,143775.0,6.2,1351.4,8262.9,position,14,1.0,opportunity
p_own_1838,cmp_2026-08_start_sale,own_tg_main,cr_sale,2026-08-10 16:26:59,0.0,opportunity,20000.0,https://t.me/postypashki_old/1838,1838.0,https://t.me/PostupashkiTrackBot?start=p_own_1838,16500,published,real_post/synthetic_cost,143335.5,14.8,20000.0,143335.5,6.2,1351.4,8687.0,position,14,1.0,opportunity
p_ext_it_jobs_0822,cmp_2026-08_pro_launch,ext_tg_it_jobs,cr_native,2026-08-22 10:00:00,25000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_it_jobs_0822,17000,published,synthetic,178352.5,16.8,25000.0,178352.5,6.1,1488.1,10491.3,position,14,1.0,opportunity
p_own_1824,cmp_2026-08_start_sale,own_tg_main,cr_native_promo,2026-07-30 19:05:25,0.0,opportunity,20000.0,https://t.me/postypashki_old/1824,1824.0,https://t.me/PostupashkiTrackBot?start=p_own_1824,21000,published,real_post/synthetic_cost,118953.5,13.2,20000.0,118953.5,4.9,1515.2,5664.5,position,14,1.0,opportunity
p_ext_it_jobs_0807,cmp_2026-08_start_sale,ext_tg_it_jobs,cr_native,2026-08-07 12:00:00,25000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_it_jobs_0807,18000,published,synthetic,140472.0,17.7,25000.0,140472.0,4.6,1412.4,7804.0,position,14,1.0,opportunity
p_own_1878,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-03 19:06:06,0.0,opportunity,20000.0,https://t.me/postypashki_old/1878,1878.0,https://t.me/PostupashkiTrackBot?start=p_own_1878,15000,published,real_post/synthetic_cost,109410.2,11.0,20000.0,109410.2,4.5,1818.2,7294.0,position,14,1.0,opportunity
p_own_1837,cmp_2026-08_start_sale,own_tg_main,cr_sale,2026-08-09 18:35:40,0.0,opportunity,20000.0,https://t.me/postypashki_old/1837,1837.0,https://t.me/PostupashkiTrackBot?start=p_own_1837,19800,published,real_post/synthetic_cost,109137.5,14.6,20000.0,109137.5,4.5,1369.9,5512.0,position,14,1.0,opportunity
p_own_1860,cmp_2026-08_pro_launch,own_tg_main,cr_native_promo,2026-08-23 11:51:41,0.0,opportunity,20000.0,https://t.me/postypashki_old/1860,1860.0,https://t.me/PostupashkiTrackBot?start=p_own_1860,20600,published,real_post/synthetic_cost,103309.5,11.0,20000.0,103309.5,4.2,1818.2,5015.0,position,14,1.0,opportunity
p_own_1840,cmp_2026-08_start_sale,own_tg_main,cr_sale,2026-08-10 20:33:06,0.0,opportunity,20000.0,https://t.me/postypashki_old/1840,1840.0,https://t.me/PostupashkiTrackBot?start=p_own_1840,30800,published,real_post/synthetic_cost,102097.5,11.8,20000.0,102097.5,4.1,1694.9,3314.9,position,14,1.0,opportunity
p_own_1843,cmp_2026-08_start_sale,own_tg_main,cr_native_promo,2026-08-11 18:50:13,0.0,opportunity,20000.0,https://t.me/postypashki_old/1843,1843.0,https://t.me/PostupashkiTrackBot?start=p_own_1843,18000,published,real_post/synthetic_cost,102029.5,11.3,20000.0,102029.5,4.1,1769.9,5668.3,position,14,1.0,opportunity
p_ext_stud_life_0903,cmp_2026-09_tbank_season,ext_tg_student_life,cr_native,2026-09-03 19:00:00,12000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_stud_life_0903,8500,published,synthetic,57717.5,6.2,12000.0,57717.5,3.8,1935.5,6790.3,position,14,1.0,opportunity
p_ext_yt_review_0830,cmp_2026-09_tbank_season,ext_youtube_review,cr_native,2026-08-30 15:00:00,35000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_yt_review_0830,12000,published,synthetic,79220.0,7.1,35000.0,79220.0,1.3,4929.6,6601.7,position,14,1.0,opportunity
p_own_1882,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-06 18:04:47,0.0,opportunity,20000.0,https://t.me/postypashki_old/1882,1882.0,https://t.me/PostupashkiTrackBot?start=p_own_1882,12000,published,real_post/synthetic_cost,42300.0,4.0,20000.0,42300.0,1.1,5000.0,3525.0,position,14,1.0,opportunity
p_own_1881,cmp_2026-09_tbank_season,own_tg_main,cr_lead_magnet,2026-09-06 15:06:08,0.0,opportunity,20000.0,https://t.me/postypashki_old/1881,1881.0,https://t.me/PostupashkiTrackBot?start=p_own_1881,14700,published,real_post/synthetic_cost,39615.0,4.2,20000.0,39615.0,1.0,4761.9,2694.9,position,14,1.0,opportunity
p_own_1823,cmp_2026-08_start_sale,own_tg_main,cr_native_promo,2026-07-29 19:05:26,0.0,opportunity,20000.0,https://t.me/postypashki_old/1823,1823.0,https://t.me/PostupashkiTrackBot?start=p_own_1823,21700,published,real_post/synthetic_cost,38747.2,5.9,20000.0,38747.2,0.9,3409.1,1785.6,position,14,1.0,opportunity
p_own_1880,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-06 12:06:06,0.0,opportunity,20000.0,https://t.me/postypashki_old/1880,1880.0,https://t.me/PostupashkiTrackBot?start=p_own_1880,12600,published,real_post/synthetic_cost,33282.5,4.3,20000.0,33282.5,0.7,4651.2,2641.5,position,14,1.0,opportunity
p_own_1892,cmp_2026-09_tbank_season,own_tg_main,cr_lead_magnet,2026-09-07 17:05:21,0.0,opportunity,20000.0,https://t.me/postypashki_old/1892,1892.0,https://t.me/PostupashkiTrackBot?start=p_own_1892,13500,published,real_post/synthetic_cost,23900.0,2.0,20000.0,23900.0,0.2,10000.0,1770.4,position,14,1.0,opportunity
p_own_1815,cmp_2026-08_start_sale,own_tg_main,cr_sale,2026-07-26 15:35:00,0.0,opportunity,20000.0,https://t.me/postypashki_old/1815,1815.0,https://t.me/PostupashkiTrackBot?start=p_own_1815,19200,published,real_post/synthetic_cost,21944.0,1.7,20000.0,21944.0,0.1,11764.7,1142.9,position,14,1.0,opportunity
p_own_1887,cmp_2026-09_tbank_season,own_tg_main,cr_lead_magnet,2026-09-07 13:47:40,0.0,opportunity,20000.0,https://t.me/postypashki_old/1887,1887.0,https://t.me/PostupashkiTrackBot?start=p_own_1887,18400,published,real_post/synthetic_cost,19730.0,1.4,20000.0,19730.0,-0.0,14285.7,1072.3,position,14,1.0,opportunity
p_own_1809,cmp_2026-08_start_sale,own_tg_main,cr_native_promo,2026-07-23 16:05:30,0.0,opportunity,20000.0,https://t.me/postypashki_old/1809,1809.0,https://t.me/PostupashkiTrackBot?start=p_own_1809,21300,published,real_post/synthetic_cost,19667.0,1.4,20000.0,19667.0,-0.0,14285.7,923.3,position,14,1.0,opportunity
p_own_1812,cmp_2026-08_start_sale,own_tg_main,cr_native_promo,2026-07-25 12:05:19,0.0,opportunity,20000.0,https://t.me/postypashki_old/1812,1812.0,https://t.me/PostupashkiTrackBot?start=p_own_1812,20200,published,real_post/synthetic_cost,18303.7,2.2,20000.0,18303.7,-0.1,9230.8,906.1,position,14,1.0,opportunity
p_own_1883,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-06 20:44:11,0.0,opportunity,20000.0,https://t.me/postypashki_old/1883,1883.0,https://t.me/PostupashkiTrackBot?start=p_own_1883,14700,published,real_post/synthetic_cost,17800.0,2.0,20000.0,17800.0,-0.1,10000.0,1210.9,position,14,1.0,opportunity
p_own_1811,cmp_2026-08_start_sale,own_tg_main,cr_native_promo,2026-07-24 19:05:26,0.0,opportunity,20000.0,https://t.me/postypashki_old/1811,1811.0,https://t.me/PostupashkiTrackBot?start=p_own_1811,20700,published,real_post/synthetic_cost,4950.0,1.0,20000.0,4950.0,-0.8,20000.0,239.1,position,14,1.0,opportunity
p_own_1895,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-08 18:27:01,0.0,opportunity,20000.0,https://t.me/postypashki_old/1895,1895.0,https://t.me/PostupashkiTrackBot?start=p_own_1895,12300,published,real_post/synthetic_cost,1395.0,0.2,20000.0,1395.0,-0.9,100000.0,113.4,position,14,1.0,opportunity
p_own_1897,cmp_2026-09_tbank_season,own_tg_main,cr_lead_magnet,2026-09-09 17:17:20,0.0,opportunity,20000.0,https://t.me/postypashki_old/1897,1897.0,https://t.me/PostupashkiTrackBot?start=p_own_1897,10100,published,real_post/synthetic_cost,0.0,0.0,20000.0,0.0,-1.0,,0.0,position,14,1.0,opportunity
p_own_1898,cmp_2026-09_tbank_season,own_tg_main,cr_lead_magnet,2026-09-10 11:59:39,0.0,opportunity,20000.0,https://t.me/postypashki_old/1898,1898.0,https://t.me/PostupashkiTrackBot?start=p_own_1898,9630,published,real_post/synthetic_cost,0.0,0.0,20000.0,0.0,-1.0,,0.0,position,14,1.0,opportunity
p_own_1899,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-10 17:06:13,0.0,opportunity,20000.0,https://t.me/postypashki_old/1899,1899.0,https://t.me/PostupashkiTrackBot?start=p_own_1899,10800,published,real_post/synthetic_cost,0.0,0.0,20000.0,0.0,-1.0,,0.0,position,14,1.0,opportunity
p_own_1900,cmp_2026-09_tbank_season,own_tg_main,cr_lead_magnet,2026-09-11 16:37:42,0.0,opportunity,20000.0,https://t.me/postypashki_old/1900,1900.0,https://t.me/PostupashkiTrackBot?start=p_own_1900,8470,published,real_post/synthetic_cost,0.0,0.0,20000.0,0.0,-1.0,,0.0,position,14,1.0,opportunity
p_own_1901,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-12 12:04:04,0.0,opportunity,20000.0,https://t.me/postypashki_old/1901,1901.0,https://t.me/PostupashkiTrackBot?start=p_own_1901,5420,published,real_post/synthetic_cost,0.0,0.0,20000.0,0.0,-1.0,,0.0,position,14,1.0,opportunity
