model,window_days,cost_mode,channel_id,romi_attr,attributed_revenue_rub,cac_rub
first,7,direct,ext_tg_ds_memes,13.1,465162.5,647.1
first,7,direct,ext_tg_it_jobs,5.8,338320.0,1351.4
first,7,direct,ext_tg_ml_digest,5.4,254332.5,1379.3
first,7,direct,ext_tg_student_life,7.9,213000.0,1142.9
first,7,direct,ext_youtube_review,1.3,79150.0,4375.0
first,7,direct,own_tg_main,,3331030.3,0.0
first,7,opportunity,ext_tg_ds_memes,13.1,465162.5,647.1
first,7,opportunity,ext_tg_it_jobs,5.8,338320.0,1351.4
first,7,opportunity,ext_tg_ml_digest,5.4,254332.5,1379.3
first,7,opportunity,ext_tg_student_life,7.9,213000.0,1142.9
first,7,opportunity,ext_youtube_review,1.3,79150.0,4375.0
first,7,opportunity,own_tg_main,3.6,3331030.3,2045.5
first,14,direct,ext_tg_ds_memes,11.9,425427.5,702.1
first,14,direct,ext_tg_it_jobs,5.9,343300.0,1351.4
first,14,direct,ext_tg_ml_digest,5.7,268432.5,1290.3
first,14,direct,ext_tg_student_life,7.1,195100.0,1263.2
first,14,direct,ext_youtube_review,0.8,64700.0,5833.3
first,14,direct,own_tg_main,,3384035.3,0.0
first,14,opportunity,ext_tg_ds_memes,11.9,425427.5,702.1
first,14,opportunity,ext_tg_it_jobs,5.9,343300.0,1351.4
first,14,opportunity,ext_tg_ml_digest,5.7,268432.5,1290.3
first,14,opportunity,ext_tg_student_life,7.1,195100.0,1263.2
first,14,opportunity,ext_youtube_review,0.8,64700.0,5833.3
first,14,opportunity,own_tg_main,3.7,3384035.3,2011.2
first,30,direct,ext_tg_ds_memes,12.1,433877.5,687.5
first,30,direct,ext_tg_it_jobs,6.1,353250.0,1315.8
first,30,direct,ext_tg_ml_digest,5.7,268432.5,1290.3
first,30,direct,ext_tg_student_life,7.1,195100.0,1263.2
first,30,direct,ext_youtube_review,0.8,64700.0,5833.3
first,30,direct,own_tg_main,,3365635.3,0.0
first,30,opportunity,ext_tg_ds_memes,12.1,433877.5,687.5
first,30,opportunity,ext_tg_it_jobs,6.1,353250.0,1315.8
first,30,opportunity,ext_tg_ml_digest,5.7,268432.5,1290.3
first,30,opportunity,ext_tg_student_life,7.1,195100.0,1263.2
first,30,opportunity,ext_youtube_review,0.8,64700.0,5833.3
first,30,opportunity,own_tg_main,3.7,3365635.3,2022.5
last,7,direct,ext_tg_ds_memes,16.8,587852.5,507.7
last,7,direct,ext_tg_it_jobs,4.9,296075.0,1562.5
last,7,direct,ext_tg_ml_digest,6.9,315707.5,1111.1
last,7,direct,ext_tg_student_life,4.3,126400.0,1846.2
last,7,direct,ext_youtube_review,1.7,93620.0,4375.0
last,7,direct,own_tg_main,,3261340.3,0.0
last,7,opportunity,ext_tg_ds_memes,16.8,587852.5,507.7
last,7,opportunity,ext_tg_it_jobs,4.9,296075.0,1562.5
last,7,opportunity,ext_tg_ml_digest,6.9,315707.5,1111.1
last,7,opportunity,ext_tg_student_life,4.3,126400.0,1846.2
last,7,opportunity,ext_youtube_review,1.7,93620.0,4375.0
last,7,opportunity,own_tg_main,3.5,3261340.3,2093.0
last,14,direct,ext_tg_ds_memes,16.8,587852.5,507.7
last,14,direct,ext_tg_it_jobs,4.9,296075.0,1562.5
last,14,direct,ext_tg_ml_digest,6.9,315707.5,1111.1
last,14,direct,ext_tg_student_life,4.3,126400.0,1846.2
last,14,direct,ext_youtube_review,1.7,93620.0,4375.0
last,14,direct,own_tg_main,,3261340.3,0.0
last,14,opportunity,ext_tg_ds_memes,16.8,587852.5,507.7
last,14,opportunity,ext_tg_it_jobs,4.9,296075.0,1562.5
last,14,opportunity,ext_tg_ml_digest,6.9,315707.5,1111.1
last,14,opportunity,ext_tg_student_life,4.3,126400.0,1846.2
last,14,opportunity,ext_youtube_review,1.7,93620.0,4375.0
last,14,opportunity,own_tg_main,3.5,3261340.3,2093.0
last,30,direct,ext_tg_ds_memes,16.8,587852.5,507.7
last,30,direct,ext_tg_it_jobs,4.9,296075.0,1562.5
last,30,direct,ext_tg_ml_digest,6.9,315707.5,1111.1
last,30,direct,ext_tg_student_life,4.3,126400.0,1846.2
last,30,direct,ext_youtube_review,1.7,93620.0,4375.0
last,30,direct,own_tg_main,,3261340.3,0.0
last,30,opportunity,ext_tg_ds_memes,16.8,587852.5,507.7
last,30,opportunity,ext_tg_it_jobs,4.9,296075.0,1562.5
last,30,opportunity,ext_tg_ml_digest,6.9,315707.5,1111.1
last,30,opportunity,ext_tg_student_life,4.3,126400.0,1846.2
last,30,opportunity,ext_youtube_review,1.7,93620.0,4375.0
last,30,opportunity,own_tg_main,3.5,3261340.3,2093.0
linear,7,direct,ext_tg_ds_memes,15.2,535207.5,557.7
linear,7,direct,ext_tg_it_jobs,5.2,311150.0,1477.8
linear,7,direct,ext_tg_ml_digest,6.5,300226.7,1188.1
linear,7,direct,ext_tg_student_life,6.3,174112.5,1391.3
linear,7,direct,ext_youtube_review,1.4,83993.3,4468.1
