placement_id,campaign_id,channel_id,creative_id,publication_time,cost_rub,cost_type,opportunity_cost_rub,post_url,message_id,deep_link,views_public,status,data_origin
p_own_1809,cmp_2026-08_start_sale,own_tg_main,cr_native_promo,2026-07-23 16:05:30,0.0,opportunity,20000.0,https://t.me/postypashki_old/1809,1809.0,https://t.me/PostupashkiTrackBot?start=p_own_1809,21300,published,real_post/synthetic_cost
p_own_1811,cmp_2026-08_start_sale,own_tg_main,cr_native_promo,2026-07-24 19:05:26,0.0,opportunity,20000.0,https://t.me/postypashki_old/1811,1811.0,https://t.me/PostupashkiTrackBot?start=p_own_1811,20700,published,real_post/synthetic_cost
p_own_1812,cmp_2026-08_start_sale,own_tg_main,cr_native_promo,2026-07-25 12:05:19,0.0,opportunity,20000.0,https://t.me/postypashki_old/1812,1812.0,https://t.me/PostupashkiTrackBot?start=p_own_1812,20200,published,real_post/synthetic_cost
p_own_1815,cmp_2026-08_start_sale,own_tg_main,cr_sale,2026-07-26 15:35:00,0.0,opportunity,20000.0,https://t.me/postypashki_old/1815,1815.0,https://t.me/PostupashkiTrackBot?start=p_own_1815,19200,published,real_post/synthetic_cost
p_own_1823,cmp_2026-08_start_sale,own_tg_main,cr_native_promo,2026-07-29 19:05:26,0.0,opportunity,20000.0,https://t.me/postypashki_old/1823,1823.0,https://t.me/PostupashkiTrackBot?start=p_own_1823,21700,published,real_post/synthetic_cost
p_own_1824,cmp_2026-08_start_sale,own_tg_main,cr_native_promo,2026-07-30 19:05:25,0.0,opportunity,20000.0,https://t.me/postypashki_old/1824,1824.0,https://t.me/PostupashkiTrackBot?start=p_own_1824,21000,published,real_post/synthetic_cost
p_own_1827,cmp_2026-08_start_sale,own_tg_main,cr_lead_magnet,2026-08-02 11:51:49,0.0,opportunity,20000.0,https://t.me/postypashki_old/1827,1827.0,https://t.me/PostupashkiTrackBot?start=p_own_1827,32600,published,real_post/synthetic_cost
p_ext_it_jobs_0807,cmp_2026-08_start_sale,ext_tg_it_jobs,cr_native,2026-08-07 12:00:00,25000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_it_jobs_0807,18000,published,synthetic
p_own_1833,cmp_2026-08_start_sale,own_tg_main,cr_native_promo,2026-08-07 17:22:16,0.0,opportunity,20000.0,https://t.me/postypashki_old/1833,1833.0,https://t.me/PostupashkiTrackBot?start=p_own_1833,16500,published,real_post/synthetic_cost
p_ext_ds_memes_0808,cmp_2026-08_start_sale,ext_tg_ds_memes,cr_native,2026-08-08 11:00:00,15000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_ds_memes_0808,30000,published,synthetic
